date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:47:47	5230/5230	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2025%20Aug%202022%2008:47:46%20GMT	https://nhapcaptcha.com/robots.txt		(from )
15:47:47	33225/33225	---MCZ	200	added ('OK')	text/html	date:Wed,%2020%20Jul%202022%2014:11:26%20GMT	https://nhapcaptcha.com/	C:/My%20Web%20Sites/capcha/nhapcaptcha.com/index.html	(from )
15:47:48	14493/14493	---M-Z	200	added ('OK')	text/css	date:Tue,%2026%20Jul%202022%2022:49:12%20GMT	https://cdn.secure.website/library/users/common.css	C:/My%20Web%20Sites/capcha/cdn.secure.website/library/users/common.css	(from https://nhapcaptcha.com/)
15:47:49	55988/55988	---M-Z	200	added ('OK')	text/css	date:Mon,%2008%20Aug%202022%2009:49:37%20GMT	https://files.secure.website/client-site-resources/10649868/css/site.css?r=20220226034750	C:/My%20Web%20Sites/capcha/files.secure.website/client-site-resources/10649868/css/site80e9.css	(from https://nhapcaptcha.com/)
15:47:49	1608/1608	---M-Z	200	added ('OK')	text/css	date:Mon,%2008%20Aug%202022%2009:49:37%20GMT	https://files.secure.website/client-site-resources/10649868/css/layout-desktop.css?r=20220226034750	C:/My%20Web%20Sites/capcha/files.secure.website/client-site-resources/10649868/css/layout-desktop80e9.css	(from https://nhapcaptcha.com/)
15:47:49	81/81	---MCZ	200	added ('OK')	text/css	etag:W/%2262d80d0e-51%22	https://nhapcaptcha.com/css/position.css?r=20210803112752	C:/My%20Web%20Sites/capcha/nhapcaptcha.com/css/positione39d.css	(from https://nhapcaptcha.com/)
15:47:50	3361/3361	---MCZ	200	added ('OK')	text/css	etag:W/%2262d80d0e-1084%22	https://nhapcaptcha.com/css/index.css	C:/My%20Web%20Sites/capcha/nhapcaptcha.com/css/index.css	(from https://nhapcaptcha.com/)
15:47:50	3193/3193	---MCZ	200	added ('OK')	text/css	etag:W/%2262d80d0e-1093%22	https://nhapcaptcha.com/css/index-layout.css	C:/My%20Web%20Sites/capcha/nhapcaptcha.com/css/index-layout.css	(from https://nhapcaptcha.com/)
15:47:50	12791/12791	---M-Z	200	added ('OK')	text/css	date:Thu,%2029%20Jul%202021%2015:53:48%20GMT	https://cdn.secure.website/library/users/wse-frm.css	C:/My%20Web%20Sites/capcha/cdn.secure.website/library/users/wse-frm.css	(from https://nhapcaptcha.com/)
15:47:51	95786/95786	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.11.1/jquery.min.js	C:/My%20Web%20Sites/capcha/ajax.googleapis.com/ajax/libs/jquery/1.11.1/jquery.min.js	(from https://nhapcaptcha.com/)
15:47:51	38153/38153	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2030%20Jun%202022%2017:33:14%20GMT	https://cdn.secure.website/library/users/common.js	C:/My%20Web%20Sites/capcha/cdn.secure.website/library/users/common.js	(from https://nhapcaptcha.com/)
15:47:52	12498/12498	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2018%20Mar%202021%2011:48:18%20GMT	https://cdn.secure.website/library/formbuilder.jquery.js	C:/My%20Web%20Sites/capcha/cdn.secure.website/library/formbuilder.jquery.js	(from https://nhapcaptcha.com/)
15:47:52	33227/33227	---MCZ	200	added ('OK')	text/html	date:Wed,%2020%20Jul%202022%2014:11:26%20GMT	https://nhapcaptcha.com/index	C:/My%20Web%20Sites/capcha/nhapcaptcha.com/index-2.html	(from https://nhapcaptcha.com/)
15:47:52	33225/33225	---MCZ	200	added ('OK')	text/html	date:Wed,%2020%20Jul%202022%2014:11:26%20GMT	https://nhapcaptcha.com/index.html	C:/My%20Web%20Sites/capcha/nhapcaptcha.com/index-3.html	(from https://nhapcaptcha.com/)
15:47:53	16289/16289	---MCZ	200	added ('OK')	text/html	date:Wed,%2020%20Jul%202022%2014:11:26%20GMT	https://nhapcaptcha.com/dangnhap.html	C:/My%20Web%20Sites/capcha/nhapcaptcha.com/dangnhap.html	(from https://nhapcaptcha.com/)
15:47:53	14193/14193	---MCZ	200	added ('OK')	text/html	date:Wed,%2020%20Jul%202022%2014:11:26%20GMT	https://nhapcaptcha.com/99k.html	C:/My%20Web%20Sites/capcha/nhapcaptcha.com/99k.html	(from https://nhapcaptcha.com/)
15:47:53	4716/4716	---MCZ	200	added ('OK')	text/html	date:Thu,%2025%20Aug%202022%2008:47:53%20GMT	https://nhapcaptcha.com/cdn-cgi/l/email-protection	C:/My%20Web%20Sites/capcha/nhapcaptcha.com/cdn-cgi/l/email-protection.html	(from https://nhapcaptcha.com/)
15:47:54	1085/1085	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2018%20Mar%202021%2011:48:34%20GMT	http://static.secure.website/library/images/effects/gradient-shiny-hq.png	C:/My%20Web%20Sites/capcha/static.secure.website/library/images/effects/gradient-shiny-hq.png	(from https://files.secure.website/client-site-resources/10649868/css/site.css?r=20220226034750)
